image_url,orignal_price,percentage_off,product_description,product_name,product_price,ratings,url
https://m.media-amazon.com/images/I/31UjemnCpoL._SX342_SY445_.jpg,₹3399,-80%,Fashion changes with the latest trends. Get this Exclusively designed Button Down Collar Shirt in Full Sleeves tailored using 100%Cotton fabric in a Woven Pattern which makes it perfect for styling your Summer Casuals.,Red Tape Cotton Shirt for Men | Comfortable Casual Shirt for Men,₹679,3.9 out of 5 stars,https://www.amazon.in/Red-Tape-Casual-Comfortable-Men_RFS3336-L/dp/B0BXLDQR2P/ref=sr_1_12?keywords=shirts+for+men&qid=1690717970&sr=8-12
https://m.media-amazon.com/images/I/41w3SfdbJTL._SY445_SX342_.jpg,₹2715,-78%,"(None,)",Miraan Men's Long Sleeve Casual Denim Shirt (SIGDENIM),₹589,3.8 out of 5 stars,https://www.amazon.in/Miraan-Sleeve-Light-blue-SIGLIGHTDENIMXL-X-Large/dp/B0B21GVTCH/ref=sr_1_18?keywords=shirts+for+men&qid=1690717970&sr=8-18
https://m.media-amazon.com/images/I/41+rm4Qv3eL._SY445_SX342_.jpg,₹2499,-76%,"Product Details: This Casual Checkered shirt has a Slim Collar, Full Sleeves and a curved hemline Size and Fit Slim Fit The Model (height 6 foot and shoulders 18 inches is wearing size 40/M Please check the size chart for more details before ordering Material & Care 100% Premium Cotton (Machine Wash Regular) Style Tip Enhance your look by wearing this Casual Stylish Men's shirt, Team it with a pair of rugged tapered denims/Or Solid Chinos and White Sneakers for a fun Casual Casual look About the Brand DENNIS LINGO Finding Basic Menswear for daily use can be hard among todays Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices",Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt,₹599,3.9 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-D-Blue-AZ751_D-Blue_XL/dp/B08YNYXCRW/ref=sr_1_17?keywords=shirts+for+men&qid=1690717970&sr=8-17
https://m.media-amazon.com/images/I/41jIITbQmRL._SX342_SY445_.jpg,₹3699,-80%,"(None,)",Red Tape Cotton Shirt for Men | Casual Full Sleeves Cotton Shirt,₹739,3.8 out of 5 stars,https://www.amazon.in/Red-Tape-Casual-Sleeves-Shirt_RFS0102-M/dp/B0BSS1KRTT/ref=sr_1_15?keywords=shirts+for+men&qid=1690717970&sr=8-15
https://m.media-amazon.com/images/I/416J9jUq8fL._SX342_SY445_.jpg,₹1599,-57%,"(None,)",Allen Solly Men's Slim Fit Shirt,₹689,3.7 out of 5 stars,https://www.amazon.in/Allen-Solly-Plain-Casual-ASSFWMOFA47968_Orange_42/dp/B07DMXHXDY/ref=sr_1_13?keywords=shirts+for+men&qid=1690717970&sr=8-13
https://m.media-amazon.com/images/I/41pG7EH136L._SX342_SY445_.jpg,₹1799,-68%,"An Amazon brand, Symbol is built on the pillars of quality, reliability and affordability, offering a range of lifestyle essentials that help you look good every day. This Regular fit 100% cotton solid shirt is styled with mandarin collar and single chest pocket on wearers left. Wear this shirt with a pair of chinos or denims for your everyday casual look",Amazon Brand - Symbol Men's Regular Fit Casual Shirt,₹582,4.0 out of 5 stars,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW-SY-MCS-1144_Olive_Large/dp/B07F925YHF/ref=sr_1_16?keywords=shirts+for+men&qid=1690717970&sr=8-16
https://m.media-amazon.com/images/I/41dErUpKNOL._SX342_SY445_.jpg,₹2499,-74%,"Enhance your look by wearing this Casual Smart Men's Shirt from the house of DENNIS LINGO. 100% Cotton breathable shirt features Checkered Pattern, Full Sleeves, Spread Collar, Curved Hemline and has 1 Pocket.","Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear",₹655,4.1 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C442_Olive_M/dp/B082G9T3YS/ref=sr_1_14?keywords=shirts+for+men&qid=1690717970&sr=8-14
https://m.media-amazon.com/images/I/41Mx82Ofy8L._SY445_SX342_.jpg,₹1199,-56%,"Diverse is a western wear value brand for men. Our range consists of basic and updated basic apparel across both formal and casual wear. We offer the right blend of quality, style and value aimed to delight our customers.",Diverse Men Formal Shirt,₹529,3.9 out of 5 stars,https://www.amazon.in/Diverse-Printed-Regular-Cotton-DVF01F2L01-263-46_Navy_46/dp/B075KJ5KRV/ref=sr_1_11?keywords=shirts+for+men&qid=1690717970&sr=8-11
https://m.media-amazon.com/images/I/41jqRP+mFSL._SY445_SX342_.jpg,₹1999,-75%,"(None,)",IndoPrimo Men's Classic Fit Casual Shirt,₹499,3.7 out of 5 stars,https://www.amazon.in/IndoPrimo-Regular-Cotton-Casual-Medium/dp/B08R2G3JWG/ref=sr_1_9?keywords=shirts+for+men&qid=1690717970&sr=8-9
https://m.media-amazon.com/images/I/41BmoMhE+UL._SY445_SX342_.jpg,₹1499,-67%,"(None,)",Majestic Man Slim Fit Cotton Casual Check Shirt for Men,₹499,3.9 out of 5 stars,https://www.amazon.in/Majestic-Man-Cotton-Casual-Medium/dp/B0B3X1SWQF/ref=sr_1_10?keywords=shirts+for+men&qid=1690717970&sr=8-10
